PlantID,CombinedHeatAndPowerPlant,NuclearUnitID,PlantName,OperatorName,OperatorID,PlantState,CensusRegion,NERCRegion,NAICSCode,EIASectorNumber,SectorName,ReportedPrimeMover,ReportedFuelTypeCode,AERFuelTypeCode,TotalFuelConsumptionQuantity,ElectricFuelConsumptionQuantity,TotalFuelConsumptionMMBtu,ElecFuelConsumptionMMBtu,NetGenerationMWh,YEAR
2,N,.,Bankhead Dam,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,HY,WAT,HYC,0,0,0,0,-392,2018
3,N,.,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,CA,NG,NG,"795,005","795,005","806,182","806,182","2,345,699",2018
3,N,.,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,CT,NG,NG,"45,281,476","45,281,476","45,963,399","45,963,399","4,341,821",2018
3,N,.,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,CT,SUB,COL,0,0,0,0,0,2018
3,N,.,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,ST,BIT,COL,"1,600,940","1,600,940","32,824,330","32,824,330","3,227,353",2018
3,N,.,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,ST,NG,NG,"1,473,583","1,473,583","1,507,899","1,507,899","143,099",2018
3,N,.,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,ST,SUB,COL,"229,955","229,955","4,082,984","4,082,984","406,944",2018
4,N,.,Walter Bouldin Dam,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,HY,WAT,HYC,0,0,"6,262,832","6,262,832","687,921",2018
7,Y,.,Gadsden,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,ST,NG,NG,"2,542,750","2,160,410","2,583,775","2,195,375","188,877",2018
8,N,.,Gorgas,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,ST,BIT,COL,"2,246,417","2,246,417","53,401,128","53,401,128","5,490,646",2018
8,N,.,Gorgas,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,ST,DFO,DFO,"12,550","12,550","72,825","72,825","7,242",2018
9,N,.,Copper,El Paso Electric Co,5701,TX,WSC,WECC,22,1,Electric Utility,GT,DFO,DFO,0,0,0,0,0,2018
9,N,.,Copper,El Paso Electric Co,5701,TX,WSC,WECC,22,1,Electric Utility,GT,NG,NG,"755,947","755,947","780,895","780,895","47,287",2018
10,N,.,Greene County,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,GT,DFO,DFO,"25,447","25,447","148,849","148,849","10,826",2018
10,N,.,Greene County,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,GT,NG,NG,"572,755","572,755","591,233","591,233","40,917",2018
10,N,.,Greene County,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,ST,BIT,COL,0,0,0,0,0,2018
10,N,.,Greene County,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,ST,NG,NG,"11,781,007","11,781,007","12,153,307","12,153,307","1,121,348",2018
10,N,.,Greene County,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,ST,SUB,COL,0,0,0,0,0,2018
11,N,.,H Neely Henry Dam,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,HY,WAT,HYC,0,0,"2,301,820","2,301,820","252,836",2018
12,N,.,Holt Dam,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,HY,WAT,HYC,0,0,"1,536,910","1,536,910","168,817",2018
13,N,.,Jordan Dam,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,HY,WAT,HYC,0,0,"3,966,858","3,966,858","435,727",2018
14,N,.,Logan Martin Dam,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,HY,WAT,HYC,0,0,"4,054,767","4,054,767","445,383",2018
