PlantID,CombinedHeatAndPowerPlant,PlantName,OperatorName,OperatorID,PlantState,CensusRegion,NERCRegion,NAICSCode,SectorNumber,SectorName,GeneratorID,ReportedPrimeMover,NetGeneration2018,YEAR
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,1,ST,"23,392",2018
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,2,ST,"23,814",2018
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,4,ST,"827,718",2018
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,5,ST,"2,902,472",2018
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,A1CT,CT,"1,123,175",2018
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,A1ST,CA,"1,203,576",2018
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,A2C1,CT,"1,057,679",2018
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,A2C2,CT,"1,047,092",2018
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,A2ST,CA,"1,142,123",2018
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,A1CT2,CT,"1,113,875",2018
7,Y,Gadsden,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,1,ST,"156,570",2018
7,Y,Gadsden,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,2,ST,"32,307",2018
8,N,Gorgas,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,8,ST,"443,823",2018
8,N,Gorgas,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,9,ST,"673,567",2018
8,N,Gorgas,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,10,ST,"4,380,498",2018
10,N,Greene County,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,1,ST,"668,528",2018
10,N,Greene County,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,2,ST,"452,820",2018
26,N,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,1,ST,"787,306",2018
26,N,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,2,ST,"1,065,307",2018
26,N,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,3,ST,"704,399",2018
26,N,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,5,ST,"2,770,435",2018
26,N,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,ST4,ST,"759,631",2018
51,N,Dolet Hills,Cleco Power LLC,3265,LA,WSC,SERC,22,1,Electric Utility,1,ST,"1,483,069",2018
56,N,Charles R Lowman,PowerSouth Energy Cooperative,189,AL,ESC,SERC,22,1,Electric Utility,1,ST,"13,858",2018
56,N,Charles R Lowman,PowerSouth Energy Cooperative,189,AL,ESC,SERC,22,1,Electric Utility,2,ST,"803,954",2018
56,N,Charles R Lowman,PowerSouth Energy Cooperative,189,AL,ESC,SERC,22,1,Electric Utility,3,ST,"438,830",2018
59,N,Platte,City of Grand Island - (NE),40606,NE,WNC,MRO,22,1,Electric Utility,1,ST,"536,722",2018
60,N,Whelan Energy Center,City of Hastings - (NE),8245,NE,WNC,MRO,22,1,Electric Utility,1,ST,"319,930",2018
60,N,Whelan Energy Center,City of Hastings - (NE),8245,NE,WNC,MRO,22,1,Electric Utility,2,ST,"1,057,496",2018
79,Y,Aurora Energy LLC Chena,Aurora Energy LLC,986,AK,PACN,ASCC,22,3,NAICS-22 Cogen,1,ST,"24,171",2018
79,Y,Aurora Energy LLC Chena,Aurora Energy LLC,986,AK,PACN,ASCC,22,3,NAICS-22 Cogen,2,ST,"12,392",2018
79,Y,Aurora Energy LLC Chena,Aurora Energy LLC,986,AK,PACN,ASCC,22,3,NAICS-22 Cogen,5,ST,"141,256",2018
87,N,Escalante,"Tri-State G & T Assn, Inc",30151,NM,MTN,WECC,22,1,Electric Utility,1,ST,"1,289,911",2018
108,N,Holcomb,Sunflower Electric Power Corp,18315,KS,WNC,MRO,22,1,Electric Utility,1,ST,"1,472,215",2018
113,N,Cholla,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,1,ST,"473,189",2018
113,N,Cholla,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,3,ST,"1,225,798",2018
113,N,Cholla,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,4,ST,"1,916,020",2018
116,N,Ocotillo,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,1,ST,"135,447",2018
116,N,Ocotillo,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,2,ST,"111,273",2018
117,N,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,1B,CS,"275,983",2018
117,N,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,2B,CS,"244,684",2018
117,N,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,3B,CS,"212,424",2018
117,N,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,C4-1,CT,"345,579",2018
117,N,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,C4-2,CA,0,2018
117,N,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,C5-1,CT,"592,874",2018
117,N,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,C5-2,CT,"599,136",2018
117,N,West Phoenix,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,C5-3,CA,"686,163",2018
120,N,Yucca,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,ST1,ST,"287,994",2018
126,N,H Wilson Sundt Generating Station,Tucson Electric Power Co,24211,AZ,MTN,WECC,22,1,Electric Utility,4,ST,"627,030",2018
126,N,H Wilson Sundt Generating Station,Tucson Electric Power Co,24211,AZ,MTN,WECC,22,1,Electric Utility,ST1,ST,"208,970",2018
