"","PlantID","PlantName","OperatorName","OperatorID","State","County","NameplateCapacityMWSum","NetGenerationMWSum","CapacityFactor"
"85",47,"Colbert","Tennessee Valley Authority","18642","AL","Colbert",476,68000,1.63078930202218
"109",53,"Gantt","PowerSouth Energy Cooperative","189","AL","Covington",3,904,3.43987823439878
"111",54,"J K Smith","East Kentucky Power Coop, Inc","5580","KY","Clark",1055,394471,4.26833517280183
"131",63,"Gold Creek","Alaska Electric Light&Power Co","213","AK","Juneau",9.7,4103,4.82864943746175
"159",69,"Haines","Alaska Power and Telephone Co","219","AK","Haines",8.1,1126,1.5868989232764
"169",72,"Venice Hydro","Metropolitan Water District of S CA","12397","CA","Los Angeles",10.1,0,0
"170",75,"Anchorage 1","Anchorage Municipal Light and Power","599","AK","Anchorage",77.9,28937,4.24044993874596
"207",92,"Seward (AK)","City of Seward - (AK)","16955","AK","Kenai Peninsula",15.6,144,0.105374077976818
"216",95,"Wrangell","City of Wrangell - (AK)","21015","AK","Wrangell Petersburg",8.5,520,0.69836153639538
"220",96,"Beluga","Chugach Electric Assn Inc","3522","AK","Kenai Peninsula",312.4,37832,1.3824332462187
"226",99,"Frederickson","Puget Sound Energy Inc","15500","WA","Pierce",177.8,29871,1.91784674176002
"228",100,"South Consolidated","Salt River Project","16572","AZ","Maricopa",1.4,0,0
"241",114,"Douglas","Arizona Public Service Co","803","AZ","Cochise",26.1,141,0.0616700782029077
"267",124,"Demoss Petrie","Tucson Electric Power Co","24211","AZ","Pima",85,5154,0.69218372280419
"281",141,"Agua Fria","Salt River Project","16572","AZ","Maricopa",613.5,148612,2.76525512349607
"289",145,"Horse Mesa","Salt River Project","16572","AZ","Maricopa",129.5,50123,4.41838119920312
"300",148,"Mormon Flat","Salt River Project","16572","AZ","Maricopa",63.5,17190,3.0902815230288
"304",151,"McClure","Modesto Irrigation District","12745","CA","Stanislaus",142.4,2958,0.237128674772972
"348",172,"Osceola (AR)","City of Osceola - (AR)","14216","AR","Mississippi",4.8,0,0
"361",193,"Municipal Light","City of Piggott - (AR)","15043","AR","Clay",7.2,0,0
"387",202,"Carl Bailey","Arkansas Electric Coop Corp","807","AR","Woodruff",120,14199,1.35074200913242
"443",248,"Inskip","Pacific Gas & Electric Co.","14328","CA","Tehama",7.6,0,0
"446",250,"Kerckhoff","Pacific Gas & Electric Co.","14328","CA","Fresno",22.6,0,0
"484",276,"San Joaquin 2","Pacific Gas & Electric Co.","14328","CA","Madera",2.8,355,1.44732550554468
"485",277,"San Joaquin 3","Pacific Gas & Electric Co.","14328","CA","Madera",4,0,0
"491",283,"Spaulding 3","Pacific Gas & Electric Co.","14328","CA","Nevada",6.6,31,0.0536183755361838
"508",289,"Tule River","Pacific Gas & Electric Co.","14328","CA","Tulare",8.4,1,0.00135899108501848
"540",316,"Sepulveda Canyon","Metropolitan Water District of S CA","12397","CA","Los Angeles",8.5,0,0
