"","OperatorName","PlantName","PlantState","County","OperatorID","PlantID","GeneratorID","UniqueID","NetGeneration2018","NameplateCapacityMW","Technology","EnergySource1","Status","OperatingMonth","OperatingYear","PlannedRetirementMonth","PlannedRetirementYear","CapacityFactor"
"1","Alabama Power Co","Barry","AL","Mobile",195,3,"1","195 3 1",23392,153.1,"Natural Gas Steam Turbine","NG","OP",2,1954,NA,NA,1.74416697237309
"2","Alabama Power Co","Barry","AL","Mobile",195,3,"2","195 3 2",23814,153.1,"Natural Gas Steam Turbine","NG","OP",7,1954,NA,NA,1.77563236491504
"12","Alabama Power Co","Gadsden","AL","Etowah",195,7,"2","195 7 2",32307,69,"Natural Gas Steam Turbine","NG","OP",7,1949,NA,NA,5.34494738931904
"24","PowerSouth Energy Cooperative","Charles R Lowman","AL","Washington",189,56,"1","189 56 1",13858,66,"Conventional Steam Coal","BIT","OP",6,1969,10,2020,2.39691434896914
"44","Arizona Public Service Co","West Phoenix","AZ","Maricopa",803,117,"C4-2","803 117 C4-2",0,44.6,"Natural Gas Fired Combined Cycle","NG","OP",6,2001,NA,NA,0
"55","South Carolina Public Service Authority","Cross","SC","Berkeley",17543,130,"2","17543 130 2",107124,556.2,"Conventional Steam Coal","RC","OP",5,1984,NA,NA,2.19862767408984
"60","Salt River Project","Agua Fria","AZ","Maricopa",16572,141,"AF1","16572 141 AF1",40147,113.6,"Natural Gas Steam Turbine","NG","OP",1,1958,NA,NA,4.0343229468133
"61","Salt River Project","Agua Fria","AZ","Maricopa",16572,141,"AF2","16572 141 AF2",36229,113.6,"Natural Gas Steam Turbine","NG","OP",4,1957,NA,NA,3.64060791690784
"62","Salt River Project","Agua Fria","AZ","Maricopa",16572,141,"AF3","16572 141 AF3",68036,163.2,"Natural Gas Steam Turbine","NG","OP",4,1961,NA,NA,4.75898692810457
"69","Grand River Dam Authority","GREC","OK","Mayes",7490,165,"2","7490 165 2",421889,594,"Conventional Steam Coal","SUB","OP",10,1985,NA,NA,8.10788632135664
"72","Entergy Arkansas LLC","Lake Catherine","AR","Hot Spring",814,170,"4","814 170 4",289084,552.5,"Natural Gas Steam Turbine","NG","OP",4,1970,6,2025,5.9729333250687
"75","Arkansas Electric Coop Corp","Carl Bailey","AR","Woodruff",807,202,"1","807 202 1",14199,120,"Natural Gas Steam Turbine","NG","OP",7,1966,NA,NA,1.35074200913242
"76","Arkansas Electric Coop Corp","McClellan (AR)","AR","Ouachita",807,203,"1","807 203 1",61046,136,"Natural Gas Steam Turbine","NG","OP",5,1972,NA,NA,5.12405989793178
"94","AES Alamitos LLC","AES Alamitos LLC","CA","Los Angeles",22148,315,"1","22148 315 1",31671,156,"Natural Gas Steam Turbine","NG","OP",9,1956,12,2019,2.31757112750263
"95","AES Alamitos LLC","AES Alamitos LLC","CA","Los Angeles",22148,315,"2","22148 315 2",87215,156,"Natural Gas Steam Turbine","NG","OP",2,1957,12,2019,6.38208347968622
"98","AES Alamitos LLC","AES Alamitos LLC","CA","Los Angeles",22148,315,"5","22148 315 5",126817,495,"Natural Gas Steam Turbine","NG","OP",3,1964,12,2020,2.92461141091278
"99","AES Alamitos LLC","AES Alamitos LLC","CA","Los Angeles",22148,315,"6","22148 315 6",152491,495,"Natural Gas Steam Turbine","NG","OP",9,1966,12,2019,3.51669664683363
"102","AES Huntington Beach LLC","AES Huntington Beach LLC","CA","Orange",23693,335,"1","23693 335 1",187077,218,"Natural Gas Steam Turbine","NG","OP",6,1958,12,2019,9.79624858615056
"103","AES Huntington Beach LLC","AES Huntington Beach LLC","CA","Orange",23693,335,"2","23693 335 2",132445,218,"Natural Gas Steam Turbine","NG","OP",12,1958,12,2020,6.93545515479033
"106","GenOn California South, LP","Ormond Beach","CA","Ventura",15908,350,"1","15908 350 1",94180,806,"Natural Gas Steam Turbine","NG","OP",8,1971,1,2021,1.33388853008827
"107","GenOn California South, LP","Ormond Beach","CA","Ventura",15908,350,"2","15908 350 2",91835,806,"Natural Gas Steam Turbine","NG","OP",3,1973,1,2021,1.30067586707003
"108","AES Redondo Beach LLC","AES Redondo Beach LLC","CA","Los Angeles",22484,356,"5","22484 356 5",28797,163.2,"Natural Gas Steam Turbine","NG","OP",10,1954,12,2020,2.01429458769809
"109","AES Redondo Beach LLC","AES Redondo Beach LLC","CA","Los Angeles",22484,356,"6","22484 356 6",25473,163.2,"Natural Gas Steam Turbine","NG","OP",7,1957,12,2020,1.78178720118184
"110","AES Redondo Beach LLC","AES Redondo Beach LLC","CA","Los Angeles",22484,356,"7","22484 356 7",97373,495,"Natural Gas Steam Turbine","NG","OP",2,1967,10,2019,2.24558369078917
"111","AES Redondo Beach LLC","AES Redondo Beach LLC","CA","Los Angeles",22484,356,"8","22484 356 8",122864,495,"Natural Gas Steam Turbine","NG","OP",7,1967,12,2020,2.83344864166782
"118","City of Glendale - (CA)","Grayson","CA","Los Angeles",7294,377,"1","7294 377 1",97,20,"Natural Gas Fired Combined Cycle","NG","OP",7,1977,NA,NA,0.055365296803653
"119","City of Glendale - (CA)","Grayson","CA","Los Angeles",7294,377,"2","7294 377 2",923,20,"Natural Gas Fired Combined Cycle","NG","OP",7,1977,NA,NA,0.526826484018265
"120","City of Glendale - (CA)","Grayson","CA","Los Angeles",7294,377,"3","7294 377 3",0,23,"Landfill Gas","LFG","OP",12,1953,NA,NA,0
"123","City of Glendale - (CA)","Grayson","CA","Los Angeles",7294,377,"8A","7294 377 8A",0,25.4,"Natural Gas Fired Combined Cycle","NG","OP",7,1977,NA,NA,0
"124","City of Glendale - (CA)","Grayson","CA","Los Angeles",7294,377,"8BC","7294 377 8BC",2280,55.1,"Natural Gas Fired Combined Cycle","NG","OP",7,1977,NA,NA,0.472366556447803
"125","Midwest Generations EME LLC","Joliet 29","IL","Will",12384,384,"7","12384 384 7",306605,660,"Natural Gas Steam Turbine","NG","OP",4,1965,NA,NA,5.30311678428117
"126","Midwest Generations EME LLC","Joliet 29","IL","Will",12384,384,"8","12384 384 8",321847,660,"Natural Gas Steam Turbine","NG","OP",3,1966,NA,NA,5.56674622941746
"128","Imperial Irrigation District","El Centro Hybrid","CA","Imperial",9216,389,"4","9216 389 4",1831,81.6,"Natural Gas Steam Turbine","NG","OP",8,1968,NA,NA,0.256149834362969
"133","Los Angeles Department of Water & Power","Harbor","CA","Los Angeles",11208,399,"5","11208 399 5",8073,75,"Natural Gas Fired Combined Cycle","NG","OP",1,1995,NA,NA,1.22876712328767
"134","Los Angeles Department of Water & Power","Harbor","CA","Los Angeles",11208,399,"10A","11208 399 10A",9934,85.3,"Natural Gas Fired Combined Cycle","NG","OP",1,1995,NA,NA,1.32944696933198
"135","Los Angeles Department of Water & Power","Harbor","CA","Los Angeles",11208,399,"10B","11208 399 10B",11008,85.3,"Natural Gas Fired Combined Cycle","NG","OP",1,1995,NA,NA,1.47317819996039
"136","Los Angeles Department of Water & Power","Haynes","CA","Los Angeles",11208,400,"1","11208 400 1",40840,230,"Natural Gas Steam Turbine","NG","OP",9,1962,NA,NA,2.02700019853087
"137","Los Angeles Department of Water & Power","Haynes","CA","Los Angeles",11208,400,"2","11208 400 2",29640,230,"Natural Gas Steam Turbine","NG","OP",4,1963,NA,NA,1.4711137581894
"141","Los Angeles Department of Water & Power","Scattergood","CA","Los Angeles",11208,404,"1","11208 404 1",72866,163.2,"Natural Gas Steam Turbine","NG","OP",12,1958,12,2024,5.09683610887277
"142","Los Angeles Department of Water & Power","Scattergood","CA","Los Angeles",11208,404,"2","11208 404 2",39364,163.2,"Natural Gas Steam Turbine","NG","OP",7,1959,12,2024,2.75343584922553
"148","City of Pasadena - (CA)","Glenarm","CA","Los Angeles",14534,422,"GT5","14534 422 GT5",30634,71,"Natural Gas Fired Combined Cycle","NG","OP",12,2016,NA,NA,4.92539713164834
"149","City of Pasadena - (CA)","Glenarm","CA","Los Angeles",14534,422,"ST1","14534 422 ST1",6844,16,"Natural Gas Fired Combined Cycle","NG","OP",12,2016,NA,NA,4.88299086757991
"160","City of Colorado Springs - (CO)","George Birdsall","CO","El Paso",3989,493,"1","3989 493 1",1569,17.3,"Natural Gas Steam Turbine","NG","OP",8,1953,NA,NA,1.03531554359015
"161","City of Colorado Springs - (CO)","George Birdsall","CO","El Paso",3989,493,"2","3989 493 2",1225,18.8,"Natural Gas Steam Turbine","NG","OP",3,1954,NA,NA,0.743830758768095
"162","City of Colorado Springs - (CO)","George Birdsall","CO","El Paso",3989,493,"3","3989 493 3",1190,25,"Natural Gas Steam Turbine","NG","OP",3,1957,NA,NA,0.54337899543379
"166","Tri-State G & T Assn, Inc","Nucla","CO","Montrose",30151,527,"1","30151 527 1",6526,11.5,"Conventional Steam Coal","BIT","OP",11,1959,12,2022,6.47806233869367
"167","Tri-State G & T Assn, Inc","Nucla","CO","Montrose",30151,527,"2","30151 527 2",6061,11.5,"Conventional Steam Coal","BIT","OP",11,1959,12,2022,6.01647806233869
"168","Tri-State G & T Assn, Inc","Nucla","CO","Montrose",30151,527,"3","30151 527 3",5990,11.5,"Conventional Steam Coal","BIT","OP",11,1959,12,2022,5.94599960293826
"169","Tri-State G & T Assn, Inc","Nucla","CO","Montrose",30151,527,"ST4","30151 527 ST4",42976,79.3,"Conventional Steam Coal","BIT","OP",1,1991,12,2022,6.18655242504333
"177","NRG Montville Operations Inc","Montville Station","CT","New London",22380,546,"5","22380 546 5",23077,75,"Petroleum Liquids","RFO","OP",1,1954,NA,NA,3.51248097412481
"178","NRG Montville Operations Inc","Montville Station","CT","New London",22380,546,"6","22380 546 6",52379,414.9,"Petroleum Liquids","RFO","OP",1,1971,NA,NA,1.44115157858361
"182","Middletown Power LLC","Middletown","CT","Middlesex",12490,562,"4","12490 562 4",37263,414.9,"Petroleum Liquids","RFO","OP",5,1973,NA,NA,1.02525117456921
"187","PSEG Power Connecticut LLC","Bridgeport Station","CT","Fairfield",15452,568,"3","15452 568 3",332754,400,"Conventional Steam Coal","SUB","OP",8,1968,6,2021,9.49640410958904
"189","Calpine Mid-Atlantic Generation LLC","Edge Moor","DE","New Castle",56609,593,"3","56609 593 3",37298,75,"Natural Gas Steam Turbine","NG","OP",12,1954,NA,NA,5.67701674277017
"190","Calpine Mid-Atlantic Generation LLC","Edge Moor","DE","New Castle",56609,593,"4","56609 593 4",67088,176.8,"Natural Gas Steam Turbine","NG","OP",4,1966,NA,NA,4.33170106820389
"191","Calpine Mid-Atlantic Generation LLC","Edge Moor","DE","New Castle",56609,593,"5","56609 593 5",208513,446,"Natural Gas Steam Turbine","NG","OP",8,1973,NA,NA,5.3369627536499
