"","OperatorName","PlantName","PlantState","County","OperatorID","PlantID","GeneratorID","UniqueID","NetGeneration2018","NameplateCapacityMW","Technology","EnergySource1","Status","OperatingMonth","OperatingYear","PlannedRetirementMonth","PlannedRetirementYear","CapacityFactor"
"1","Alabama Power Co","Barry","AL","Mobile",195,3,"1","195 3 1",23392,153.1,"Natural Gas Steam Turbine","NG","OP",2,1954,NA,NA,1.74416697237309
"2","Alabama Power Co","Barry","AL","Mobile",195,3,"2","195 3 2",23814,153.1,"Natural Gas Steam Turbine","NG","OP",7,1954,NA,NA,1.77563236491504
"3","Alabama Power Co","Barry","AL","Mobile",195,3,"4","195 3 4",827718,403.7,"Conventional Steam Coal","BIT","OP",12,1969,NA,NA,23.4055873580341
"4","Alabama Power Co","Barry","AL","Mobile",195,3,"5","195 3 5",2902472,788.8,"Conventional Steam Coal","BIT","OP",10,1971,NA,NA,42.004617151537
"5","Alabama Power Co","Barry","AL","Mobile",195,3,"A1CT","195 3 A1CT",1123175,170.1,"Natural Gas Fired Combined Cycle","NG","OP",5,2000,NA,NA,75.3770277489202
"6","Alabama Power Co","Barry","AL","Mobile",195,3,"A1ST","195 3 A1ST",1203576,195.2,"Natural Gas Fired Combined Cycle","NG","OP",5,2000,NA,NA,70.3865371659555
"7","Alabama Power Co","Barry","AL","Mobile",195,3,"A2C1","195 3 A2C1",1057679,170.1,"Natural Gas Fired Combined Cycle","NG","OP",5,2000,NA,NA,70.9815472499389
"8","Alabama Power Co","Barry","AL","Mobile",195,3,"A2C2","195 3 A2C2",1047092,170.1,"Natural Gas Fired Combined Cycle","NG","OP",5,2000,NA,NA,70.27104657749
"9","Alabama Power Co","Barry","AL","Mobile",195,3,"A2ST","195 3 A2ST",1142123,195.2,"Natural Gas Fired Combined Cycle","NG","OP",5,2000,NA,NA,66.7926935960775
"10","Alabama Power Co","Barry","AL","Mobile",195,3,"A1CT2","195 3 A1CT2",1113875,170.1,"Natural Gas Fired Combined Cycle","NG","OP",5,2000,NA,NA,74.7528985098747
"11","Alabama Power Co","Gadsden","AL","Etowah",195,7,"1","195 7 1",156570,69,"Natural Gas Steam Turbine","NG","OP",4,1949,NA,NA,25.9033154655549
"12","Alabama Power Co","Gadsden","AL","Etowah",195,7,"2","195 7 2",32307,69,"Natural Gas Steam Turbine","NG","OP",7,1949,NA,NA,5.34494738931904
"13","Alabama Power Co","Gorgas","AL","Walker",195,8,"8","195 8 8",443823,187.5,"Conventional Steam Coal","BIT","OP",5,1956,4,2019,27.0211872146119
"14","Alabama Power Co","Gorgas","AL","Walker",195,8,"9","195 8 9",673567,190.4,"Conventional Steam Coal","BIT","OP",6,1958,4,2019,40.3840388895284
"15","Alabama Power Co","Gorgas","AL","Walker",195,8,"10","195 8 10",4380498,788.8,"Conventional Steam Coal","BIT","OP",10,1972,4,2019,63.3946309983606
"16","Alabama Power Co","Greene County","AL","Greene",195,10,"1","195 10 1",668528,299.2,"Natural Gas Steam Turbine","NG","OP",6,1965,NA,NA,25.5066783874197
"17","Alabama Power Co","Greene County","AL","Greene",195,10,"2","195 10 2",452820,269.2,"Natural Gas Steam Turbine","NG","OP",7,1966,NA,NA,19.2019988194346
"18","Alabama Power Co","E C Gaston","AL","Shelby",195,26,"1","195 26 1",787306,272,"Natural Gas Steam Turbine","NG","OP",5,1960,NA,NA,33.042321380607
"19","Alabama Power Co","E C Gaston","AL","Shelby",195,26,"2","195 26 2",1065307,272,"Natural Gas Steam Turbine","NG","OP",7,1960,NA,NA,44.7097015175933
"20","Alabama Power Co","E C Gaston","AL","Shelby",195,26,"3","195 26 3",704399,272,"Natural Gas Steam Turbine","NG","OP",6,1961,NA,NA,29.5628105694332
"21","Alabama Power Co","E C Gaston","AL","Shelby",195,26,"5","195 26 5",2770435,952,"Conventional Steam Coal","BIT","OP",8,1974,NA,NA,33.2205570584398
"22","Alabama Power Co","E C Gaston","AL","Shelby",195,26,"ST4","195 26 ST4",759631,244.8,"Natural Gas Steam Turbine","NG","OP",6,1962,NA,NA,35.4231485212045
"23","Cleco Power LLC","Dolet Hills","LA","DeSoto",3265,51,"1","3265 51 1",1483069,720.7,"Conventional Steam Coal","LIG","OP",4,1986,NA,NA,23.4910662071946
"24","PowerSouth Energy Cooperative","Charles R Lowman","AL","Washington",189,56,"1","189 56 1",13858,66,"Conventional Steam Coal","BIT","OP",6,1969,10,2020,2.39691434896914
"25","PowerSouth Energy Cooperative","Charles R Lowman","AL","Washington",189,56,"2","189 56 2",803954,236,"Conventional Steam Coal","BIT","OP",6,1978,10,2020,38.8879537187524
"26","PowerSouth Energy Cooperative","Charles R Lowman","AL","Washington",189,56,"3","189 56 3",438830,236,"Conventional Steam Coal","BIT","OP",6,1980,10,2020,21.2265884993422
"27","City of Grand Island - (NE)","Platte","NE","Hall",40606,59,"1","40606 59 1",536722,109.8,"Conventional Steam Coal","SUB","OP",12,1982,NA,NA,55.8011245020003
"28","City of Hastings - (NE)","Whelan Energy Center","NE","Adams",8245,60,"1","8245 60 1",319930,76.3,"Conventional Steam Coal","RC","OP",7,1981,NA,NA,47.8659102198124
"29","City of Hastings - (NE)","Whelan Energy Center","NE","Adams",8245,60,"2","8245 60 2",1057496,248,"Conventional Steam Coal","SUB","OP",6,2011,NA,NA,48.6769038149948
"30","Aurora Energy LLC","Aurora Energy LLC Chena","AK","Fairbanks North Star",986,79,"1","986 79 1",24171,5,"Conventional Steam Coal","SUB","OP",6,1952,NA,NA,55.1849315068493
"31","Aurora Energy LLC","Aurora Energy LLC Chena","AK","Fairbanks North Star",986,79,"2","986 79 2",12392,2.5,"Conventional Steam Coal","SUB","OP",6,1952,NA,NA,56.5844748858447
"32","Aurora Energy LLC","Aurora Energy LLC Chena","AK","Fairbanks North Star",986,79,"5","986 79 5",141256,20,"Conventional Steam Coal","SUB","OP",6,1975,NA,NA,80.6255707762557
"33","Tri-State G & T Assn, Inc","Escalante","NM","McKinley",30151,87,"1","30151 87 1",1289911,257,"Conventional Steam Coal","SUB","OP",12,1984,NA,NA,57.2957642627436
"34","Sunflower Electric Power Corp","Holcomb","KS","Finney",18315,108,"1","18315 108 1",1472215,348.7,"Conventional Steam Coal","SUB","OP",8,1983,NA,NA,48.1964648865388
"35","Arizona Public Service Co","Cholla","AZ","Navajo",803,113,"1","803 113 1",473189,113.6,"Conventional Steam Coal","SUB","OP",5,1962,NA,NA,47.5501840954402
"36","Arizona Public Service Co","Cholla","AZ","Navajo",803,113,"3","803 113 3",1225798,312.3,"Conventional Steam Coal","SUB","OP",5,1980,NA,NA,44.8066854110832
"37","Arizona Public Service Co","Cholla","AZ","Navajo",803,113,"4","803 113 4",1916020,414,"Conventional Steam Coal","SUB","OP",6,1981,NA,NA,52.831822292811
"38","Arizona Public Service Co","Ocotillo","AZ","Maricopa",803,116,"1","803 116 1",135447,113.6,"Natural Gas Steam Turbine","NG","OP",6,1960,1,2019,13.6109034343045
"39","Arizona Public Service Co","Ocotillo","AZ","Maricopa",803,116,"2","803 116 2",111273,113.6,"Natural Gas Steam Turbine","NG","OP",3,1960,1,2019,11.1816877291144
"40","Arizona Public Service Co","West Phoenix","AZ","Maricopa",803,117,"1B","803 117 1B",275983,132,"Natural Gas Fired Combined Cycle","NG","OP",6,1976,NA,NA,23.8673550574236
"41","Arizona Public Service Co","West Phoenix","AZ","Maricopa",803,117,"2B","803 117 2B",244684,132,"Natural Gas Fired Combined Cycle","NG","OP",6,1976,NA,NA,21.1605783866058
"42","Arizona Public Service Co","West Phoenix","AZ","Maricopa",803,117,"3B","803 117 3B",212424,132,"Natural Gas Fired Combined Cycle","NG","OP",6,1976,NA,NA,18.3706932337069
"43","Arizona Public Service Co","West Phoenix","AZ","Maricopa",803,117,"C4-1","803 117 C4-1",345579,91,"Natural Gas Fired Combined Cycle","NG","OP",6,2001,NA,NA,43.3512720156556
"44","Arizona Public Service Co","West Phoenix","AZ","Maricopa",803,117,"C4-2","803 117 C4-2",0,44.6,"Natural Gas Fired Combined Cycle","NG","OP",6,2001,NA,NA,0
"45","Arizona Public Service Co","West Phoenix","AZ","Maricopa",803,117,"C5-1","803 117 C5-1",592874,184.5,"Natural Gas Fired Combined Cycle","NG","OP",8,2003,NA,NA,36.6827535855267
"46","Arizona Public Service Co","West Phoenix","AZ","Maricopa",803,117,"C5-2","803 117 C5-2",599136,184.5,"Natural Gas Fired Combined Cycle","NG","OP",8,2003,NA,NA,37.0702008389947
"47","Arizona Public Service Co","West Phoenix","AZ","Maricopa",803,117,"C5-3","803 117 C5-3",686163,200.6,"Natural Gas Fired Combined Cycle","NG","OP",8,2003,NA,NA,39.04741255685
"48","Arizona Public Service Co","Yucca","AZ","Yuma",803,120,"ST1","803 120 ST1",287994,86.7,"Natural Gas Steam Turbine","NG","OP",4,1959,NA,NA,37.9192934224455
"49","Tucson Electric Power Co","H Wilson Sundt Generating Station","AZ","Pima",24211,126,"4","24211 126 4",627030,173.3,"Natural Gas Steam Turbine","NG","OP",7,1967,NA,NA,41.3033855298833
"50","Tucson Electric Power Co","H Wilson Sundt Generating Station","AZ","Pima",24211,126,"ST1","24211 126 ST1",208970,108.8,"Natural Gas Steam Turbine","NG","OP",12,1958,12,2019,21.9255724550094
"51","Tucson Electric Power Co","H Wilson Sundt Generating Station","AZ","Pima",24211,126,"ST2","24211 126 ST2",240698,108.8,"Natural Gas Steam Turbine","NG","OP",10,1960,12,2019,25.2545410287403
"52","Tucson Electric Power Co","H Wilson Sundt Generating Station","AZ","Pima",24211,126,"ST3","24211 126 ST3",318236,113.6,"Natural Gas Steam Turbine","NG","OP",6,1962,NA,NA,31.9791465689112
"53","Public Service Co of Oklahoma","Oklaunion","TX","Wilbarger",15474,127,"1","15474 127 1",3320056,720,"Conventional Steam Coal","SUB","OP",12,1986,NA,NA,52.6391425672248
"54","South Carolina Public Service Authority","Cross","SC","Berkeley",17543,130,"1","17543 130 1",2815410,590.9,"Conventional Steam Coal","RC","OP",5,1995,NA,NA,54.3905628052866
"55","South Carolina Public Service Authority","Cross","SC","Berkeley",17543,130,"2","17543 130 2",107124,556.2,"Conventional Steam Coal","RC","OP",5,1984,NA,NA,2.19862767408984
"56","South Carolina Public Service Authority","Cross","SC","Berkeley",17543,130,"3","17543 130 3",2930138,591,"Conventional Steam Coal","RC","OP",1,2007,NA,NA,56.5974008916085
"57","South Carolina Public Service Authority","Cross","SC","Berkeley",17543,130,"4","17543 130 4",3691924,652,"Conventional Steam Coal","RC","OP",10,2008,NA,NA,64.6399557385775
